kodetoko,namatoko
J171,KRAMAT PULO GUNDUL [KPGL]
J178,RADEN SALEH [RSHJ]
J179,MARDANI 2 [MDI]
J182,PEGANGSAAN BARU [PGSJ]
J187,KRAMAT PULO [KRMJ]
J192,KRAMAT SENTIONG [KMSG]
J193,KRAMAT PULO 2 [KPO2]
J194,KRAMAT BUNDER [KTRJ]
J201,UTAN PANJANG [UTP]
J208,KEBON KACANG [KBKC]
J210,MUSI [MSI]
J211,PETAMBURAN [PBRN]
J213,MANGGA BESAR XIII [MGBJ]
J214,KARANG ANYAR [KGRJ]
J215,PEMBANGUNAN I [PGNI]
J216,KREKOT BUNDER [KTBR]
J233,PECENONGAN [PCNN]
J314,RW.MANGUN CPK PUTIH [RWMN]
J347,KEBON KACANG 2/F [KKC2]
J387,GUNUNG SAHARI [GSHI]
J410,KEMAYORAN KETAPANG [KNKG]
J428,RAJAWALI SLATAN [RJWS]
J431,CEMPAKA RAYA/F [CPRY]
J437,TMN KEBON SIRIH/F [TKSH]
J438,KEBON KOSONG RAYA [KBKR]
J446,SALEMBA TENGAH 2 [STGH]
J520,HAYAM WURUK [HYMW]
J526,H. UNG [HUG]
J530,KRAMAT SENTIONG 2 [KSG2]
J532,BENHIL 2 [BHL2]
J534,PENJERNIHAN [PJHN]
J536,KEMBANG RAYA [KGRY]
J552,KRAMAT IV [KTIV]
J579,HASYIM ASHARI ROXY [HASR]
J590,PERSATUAN GURU [PGU]
J601,BUNGUR BESAR [BRBS]
J612,SENEN RAYA [SNYA]
J619,KEBON KACANG 9 [KKC9]
J630,LONTAR RAYA [LRRA]
J662,HARCO MANGGA DUA [HMDA]
J664,LAUTZE [LTZE]
J669,KH. WAHID HASYIM [KWSM]
J670,PEMBANGUNAN 2 [PMB2]
J674,SPBU PANGJAY/F [SPJA]
J676,STASIUN SENEN [SSEN]
J687,RUKO KENARI [RKEI]
J690,KS TUBUN 2 [KST2]
J701,KEBON JAHE [KEHE]
J713,STASIUN GAMBIR [SGMR]
J724,UTAN PANJANG III [UPJ3]
J730,PRAMUKA 4 [PMK4]
J731,MENTENG SQUARE/F [MSQR]
J733,KAJI [KAJ]
J737,GEREJA AYAM [GEYA]
J757,MEDITERANIA MARINA [MEMA]
J758,KOMP. LODAN CENTER [LODC]
J761,PADEMANGAN-2 [PDA2]
J762,PADEMANGAN III [PDM3]
J763,BUDI MULIA AMPERA [BUMA]
J764,AMPERA RAYA [AMRA]
J765,PADEMANGAN 4 [PDM4]
J766,PADEMANGAN 7 [PDM7]
J767,PADEMANGAN 5 [PDM5]
J768,PADEMANGAN 6 [PDM6]
J769,AMPERA RAYA 2 [APR2]
J777,PADEMANGAN [PDMA]
J784,PERCETAKAN NEGARA 3 [PCE3]
J793,MARTAPURA [MPTA]
J797,MENARA MULTI MEDIA/F [MMMA]
J813,PENJERNIHAN 2 [PJN2]
J816,STASIUN GAMBIR 2 [STGR]
J817,DWI WARNA 2 [DWRN]
J841,BENDUNGAN JT LUHUR [BJTL]
J847,KS.TUBUN 3 [KSN3]
J848,JUANDA 3 [JND3]
J862,JEMBATAN HITAM [JBTH]
J869,APT GREEN PRAMUKA [AGPK]
J871,GUNUNG SAHARI 2 [GSR2]
J872,PANGERAN JAYAKARTA 3 [PJKT]
J874,BENDUNGAN HILIR 3 [BDH3]
J889,APT GREEN PRAMUKA 2 [AGP2]
J905,AWALUDIN [AWLD]
J910,ANGKE JAYA 3 [AJA3]
J913,DWI WARNA [DWWN]
J918,KALIBARU TIMUR 5 [KLT5]
J930,TANAH SEREAL [TNS]
J933,PEJAGALAN 3 [PJL3]
J937,ANGGREK III [AGK]
J976,LODAN RAYA [LOYA]
JB67,GP BOUGENVILLE [GPB]
JC42,GREEN PRAMUKA NERINE [GPNR]
JC82,TIMAH RAYA [TIMR]
JD42,PERCETAKAN NEGARA 57 [PN57]
K173,PANJANG [PJG]
K174,KEAMANAN [KMN]
K175,GG. BETET [BTT]
K178,JELAMBAR JAYA [KJLJ]
K179,JEMBATAN LIMA [JBLM]
K184,SAWAH LIO [KSWL]
K186,ANGGREK GARUDA [AGGD]
K189,DURI SELATAN [DUSE]
K194,KALI ANYAR [KLAY]
K196,KRENDANG RAYA [KAYA]
K198,TAWAKAL RAYA [TWRY]
K202,KRENDANG UTARA [KRUT]
K206,ANGKE JAYA [KAGJ]
K207,SEMERU RAYA [SERA]
K216,KERAJINAN [KRJN]
K223,KT BAMBU UTARA I [KBU1]
K224,KEMENANGAN III [KMN3]
K226,KOTA BAMBU II [KBU2]
K227,ANGKE SAMARASA [AKSA]
K231,PANJANG CIDODOL [PNDL]
K233,KEADILAN II [KDL2]
K238,MANGGA BESAR 8 [MGG8]
K247,TANJUNG DUREN [TGDN]
K249,JEMBATAN LIMA RAYA 3 [JLY3]
K258,JELAMBAR BARAT [JRBT]
K260,JELAMBAR UTAMA [KJRU]
K265,DR. SUSILO III [DRS3]
K268,DUTA MAS [DTMS]
K270,TAMAN HARAPAN INDAH/F [KTHI]
K271,PEJAGALAN 2 [PGL2]
K279,RAYA DURI UTARA [RADU]
K280,KEMANGGISAN [KMSN]
K281,KEMANGGISAN 4 [KMG4]
K284,ANGGREK GARUDA/F [AKGA]
K288,KEBON JERUK RAYA 2 [KJR2]
