kodetoko,namatoko
K583,ALFAMART ANGGREK ROSLIANA [ROSA]
K586,ALFAMART TSS DURI SELATAN [TSDS]
K592,ALFAMART TAWAKAL 3 [TWL3]
K691,ALFAMART PALMERAH BARAT [PMR]
K697,ALFAMART KEBAYORAN LAMA 5 [YOR5]
K734,ALFAMART MASJID AS SURUR[MASR]
K791,ALFAMART KARBELA/F [BELA]
K792,ALFAMART KARBELA 2 [BEL2]
K793,ALFAMART MENTENG ATAS [MTAS]
K796,ALFAMART KPDK/F [KPDK]
K798,ALFAMART BUKIT DURI [BDRI]
K799,ALFAMART BUKIT DURI SELATAN [BDRS]
K802,ALFAMART BARKAH [BKAH]
K803,ALFAMART RASAMALA/F [MALA]
K804,ALFAMART PSPT TEBET [PSPT]
K805,ALFAMART TEBET RAYA [TBET]
K849,ALFAMART LOKASARI [LOSI]
K856,ALFAMART GAJAH MADA 2 [GMA2]
K864,ALFAMART SOEPOMO/F [SPOM]
K874,ALFAMART SAWO KECIK [SWOK]
K881,ALFAMART MANGGA BESAR RAYA 2 [MBS2]
K883,ALFAMART RAWA BELONG 3 [RWB3]
K887,ALFAMART MEDIT 1 BOUGENVILLE [M1BE]
K895,ALFAMART APT MEDIT AZALEA [AMAE]
K900,ALFAMART KEMANGGISAN 5 [KGS5]
K904,ALFAMART GURU MUGNI [GUMU]
K905,ALFAMART PERNIAGAAN [PRGA]
K913,ALFAMART JELAMBAR BARAT 2 [JBT2]
K919,ALFAMART RAWA SIMPRUG [RWSG]
K930,ALFAMART KARBELA 3 [BEL3]
K934,ALFAMART TAMAN DAAN MOGOT [TDMO]
K940,ALFAMART JL. ANGGREK [AGRE]
K942,ALFAMART MELAYU KECIL [MYUK]
K943,ALFAMART SENI BUDAYA JLMBAR 2 [SNBA]
K951,ALFAMART JELAMBAR HADIAH [JRHA]
K958,ALFAMART POS PENGUMBEN 2 [PPE2]
K975,ALFAMART BANDENGAN SELATAN [BDGS]
KA03,ALFAMART H. KELIK 2 [KLI2]
KA16,ALFAMART KEBAYORAN LAMA 6 [KBL6]
KA24,ALFAMART POS PENGUMBEN 3 [PPE3]
KA32,ALFAMART PTB ANGKE 3 [PTB3]
KA33,ALFAMART TEBET TIMUR RAYA [TBTR]
KA52,ALFAMART KEMENANGAN III - 2 [KN32]
KA60,ALFAMART BANDENGAN SELATAN 2 [BSE2]
KB04,ALFAMART DURI SELATAN 2 [DIS2]
KB12,ALFAMART MAKALIWE 2/F [MKLW]
KB13,ALFAMART KS. TUBUN [KTBU]
KB15,ALFAMART GREEN VILLE 3 [GRV3]
KB18,ALFAMART KEMANGGISAN 6 [KMG6]
KB22,ALFAMART PALMERAH BARAT 2 [PLB2]
KB25,ALFAMART GAJAH MADA 3 [GJM3]
KB26,ALFAMART KEDOYA RAYA 3 [KDR3]
KB32,ALFAMART KEDOYA GREEN GARDEN [KDGG]
KB47,ALFAMART GAJAH MADA 4 [GJM4]
KB71,ALFAMART PERJUANGAN KBN JRK 2 [PERJ]
KB76,ALFAMART BUDHI RAYA [BDIR]
KB78,ALFAMART MANGGA BESAR 6 [MABS]
KB84,ALFAMART KOTA BAMBU SELATAN [KOBS]
KB86,ALFAMART CENTRAL PARK [CRPK]
KB91,ALFAMART MABES D LAPAN [MBDN]
KB92,ALFAMART JL. HADIAH [JLHD]
KB93,ALFAMART TANJUNG DUREN TIMUR [TJDT]
KB94,ALFAMART PANJANG GREEN GARDEN [PAGG]
KB97,ALFAMART ASEM BARIS 3 [ASBR]
KB98,ALFAMART LATUMETEN 3 [LAT3]
KC03,ALFAMART TAMAN RATU [TMNR]
KC04,ALFAMART TANJUNG DUREN 3 [TJDN]
KC07,ALFAMART SAWAH LIO 3 [SWHL]
KC16,ALFAMART ASEM BARIS 2 [ASMB]
KC20,ALFAMART DAAN MOGOT GROGOL [DNMG]
KC33,ALFAMART PILAR RAYA [PIRY]
KC36,ALFAMART BATUSARI KEMANGGISAN [BSKG]
KC45,ALFAMART JELAMBAR UTAMA SAKTI [JBUS]
KC49,ALFAMART APARTEMENT METROPARK [APMK]
KC54,ALFAMART STA. CIKINI [STAC]
KC66,ALFAMART STA. SENEN 2 [STAS]
KC69,ALFAMART INDUSTRI [INDS]
KC73,ALFAMART KOTA BARU [KTAB]
KC74,ALFAMART KH. MAS MANSYUR [KHMM]
KC75,ALFAMART SUTAN SYAHRIR [SUSY]
KC76,ALFAMART KRAMAT SENTIONG 3 [KTSG]
KC80,ALFAMART SALEMBA TENGAH 3 [SATH]
KC83,ALFAMART MENTENG WADAS 12/F [MENT]
KC84,ALFAMART TAMAN KEDOYA ELOK [TMKE]
KC85,ALFAMART KEBON RAYA 2 [KORY]
KC90,ALFAMART DAAN MOGOT KM 11 [DAMT]
KC94,ALFAMART KAMBOJA/F [KAMB]
KC97,ALFAMART MUWARDI/F [MUWA]
KD01,ALFAMART PINTU BESAR [PINT]
KD02,ALFAMART JUANDA 2 [JDA2]
KD03,ALFAMART SABANG [SABG]
KD06,ALFAMART PASAR BARU [PABR]
KD07,ALFAMART AIPDA KS TUBUN [AIPD]
KD09,ALFAMART GURU MUGNI 2 [GURU]
KD10,ALFAMART SETIABUDI BARAT [SETB]
KD11,ALFAMART RATU MELATI [RAML]
KD16,ALFAMART SWADAYA [SWDA]
KD17,ALFAMART KEMANGGISAN 7 [KMG7]
KD19,ALFAMART KRAMAT PULO 4 [KRAP]
KD20,ALFAMART IMAM MAHBUD [IMAM]
KD21,ALFAMART SURYOPRANOTO [SRYO]
KD23,ALFAMART GROGOL PERMAI [GRLI]
KD25,ALFAMART KARTINI [ARNI]
KD26,ALFAMART PEKAPURAN/F [PEKR]
KD30,ALFAMART ARTERI KELAPA DUA [ARTE]
KD31,ALFAMART KEMBANG RAYA 2 [KEBG]
KD32,ALFAMART BEK MURAD [BEKM]
KD33,ALFAMART JATI BARU [JABR]
KD36,ALFAMART TEBET BARAT [TEBE]
KD38,ALFAMART LATUMENTEN 11 [LATN]
KD40,ALFAMART MANGGA DUA DALAM [MADD]
KD43,ALFAMART SAWAH LUNTO [SATO]
KD44,ALFAMART HIDUP BARU [HIRU]
KD46,ALFAMART KRAMAT RAYA [KRRA]
KD49,ALFAMART PERJUANGAN KBN JERUK [PNKJ]
KD50,ALFAMART MUSI 2 [MUSI]
KD51,ALFAMART JEMBATAN LIMA 6 [JLMA]
KD54,ALFAMART SALAM RAYA [SALR]
KD55,ALFAMART STA-TANAH ABANG [STTH]
KD56,ALFAMART KARANG ANYAR 2 [KANY]
KD57,ALFAMART MANGGA BESAR I [MABR]
KD58,ALFAMART MINANGKABAU [MING]
KD63,ALFAMART TANAH SEREAL 2 [TASE]
KD69,ALFAMART PANGERAN JAYAKARTA 4 [PAJT]
KD71,ALFAMART PANJANG CIDODOL 10 [PJCL]
KD72,ALFAMART TAMAN RATU INDAH [TRIN]
KD73,ALFAMART PERJUANGAN KBN JRK 3 [PJKK]
KD74,ALFAMART THALIB [TALB]
KD76,ALFAMART HAJI TOHIR [HATI]
KD79,ALFAMART BUNI [BUNI]
KD80,ALFAMART PLAZA KENARI MAS [PLKM]
KD82,ALFAMART MANGGA 2 DALAM 2 [M2D2]
KD86,ALFAMART RUKO PERMATA ANCOL [RPAL]
KD89,ALFAMART GG MACAN 2 [GGM2]
KD90,ALFAMART TEBET UTARA DALAM [TUDA]
KD91,ALFAMART HARCO MANGGA 2 N 3 [HM23]
KD92,ALFAMART DR SATRIO [DRSR]
KD93,ALFAMART TANJUNG DUREN 462 [TADU]
KD94,ALFAMART BATU TULIS RAYA [BUTY]
KE03,ALFAMART KALIBARU TIMUR 7 [KITU]
KE06,ALFAMART DR SUSILO RAYA [DSRA]
KE08,ALFAMART KEBON JERUK XIV [KEJE]
KE09,ALFAMART PANJANG KEBON JRK 3 [PGKJ]
KE11,ALFAMART MURIA TANJAKAN 6 [MIKA]
KE13,ALFAMART KEMANGGISAN PULO [KEPU]
KE14,ALFAMART P. JAYAKARTA/F [PJTA]
KE16,ALFAMART MANGGA 17 [MA17]
KE17,ALFAMART FAHRUDIN 41 [FR41]
KE18,ALFAMART SENI BUDAYA II [SEDA]
KE19,ALFAMART KENDAL 24 [KL24]
KE20,ALFAMART BANDENGAN UTARA/F [BNUR]
KE21,ALFAMART MESJID AL ANWAR [MEAL]
KE24,ALFAMART SALEMBA BLUNTAS 76 [SELU]
